Nome da IES;Código e-MEC da IES;Organização Acadêmica da IES;UF da IES
FACULDADE DE TECNOLOGIA FTEC;3777;Faculdade;RS
FACULDADE DE CIÊNCIAS E EDUCAÇÃO SENA AIRES;3778;Faculdade;GO
FACULDADE FOZ DO IGUAÇU;3779;Faculdade;PR
Faculdade de Ciências Jurídicas de Juiz de Fora;3783;Faculdade;MG
ABEU - CENTRO UNIVERSITÁRIO;3784;Centro Universitário;RJ
FACULDADE SETE DE SETEMBRO;3785;Faculdade;BA
FACULDADE SANTA TEREZINHA;3786;Faculdade;MA
FACULDADE DE DIREITO PADRE ARNALDO JANSSEN;3787;Faculdade;MG
FACULDADE BRASILEIRA DE TECNOLOGIA-;3788;Faculdade;BA
FACULDADE MACHADO DE ASSIS;3789;Faculdade;RJ
FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE ITUVERAVA;3793;Faculdade;SP
FACULDADE DE ESTUDOS ADMINISTRATIVOS DE MINAS GERAIS - FEAD-MG;3797;Faculdade;MG
FACULDADE DE CIÊNCIAS HUMANAS DE OLINDA;3803;Faculdade;PE
FACULDADE DE RONDÔNIA;3804;Faculdade;RO
FACULDADE DE TEODORO SAMPAIO;3805;Faculdade;SP
CENTRO UNIVERSITÁRIO UNIDADE DE ENSINO SUPERIOR DOM BOSCO;3817;Centro Universitário;MA
FACULDADES INTEGRADAS DE RONDONÓPOLIS;3823;Faculdade;MT
FACULDADE MADRE THAIS;3826;Faculdade;BA
FACULDADE DOCTUM DE MANHUAÇU - DOCTUM;3838;Faculdade;MG
FACULDADES DOCTUM DE CARATINGA;3853;Faculdade;MG
FACULDADE GUARAPUAVA;3854;Faculdade;PR
